Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app5/bench_1262,,2,0.1,,26,0.8,,26,0.6,,28,0.5,,27,0.8,,3,0.1
QF_BV/sage/app8/bench_23,,2,2.2,,4,0.6,,4,0.6,,5,1.1,,5,1.1,,3,0.7
QF_BV/sage/app8/bench_49,,2,0.6,,6,0.4,,6,0.4,,6,0.2,,6,0.2,,2,0.1
QF_BV/sage/app8/bench_400,,2,15.3,,19,60.3,,18,49.9,,18,66.0,,17,70.9,,2,35.6
QF_BV/sage/app8/bench_443,,2,12.8,,19,47.5,,18,62.2,,18,86.2,,17,87.0,,2,40.5
QF_BV/sage/app8/bench_498,,2,13.4,,18,66.4,,17,66.4,,18,88.2,,17,87.7,,2,33.4
QF_BV/sage/app8/bench_525,,3,0.2,,22,0.4,,22,0.4,,29,0.5,,28,0.5,,4,0.1
QF_BV/sage/app8/bench_828,,2,9.7,,20,81.7,,19,79.0,,23,72.7,,21,72.7,,2,35.9
QF_BV/sage/app8/bench_1892,,2,0.6,,14,1.2,,14,1.2,,15,1.3,,15,1.3,,3,0.1
QF_BV/sage/app8/bench_2006,,3,1.1,,16,1.0,,16,0.9,,18,1.5,,17,1.5,,3,0.1
QF_BV/sage/app8/bench_2310,,3,0.5,,22,0.8,,22,0.8,,21,0.7,,21,0.7,,3,0.1
QF_BV/sage/app8/bench_2647,,3,1.4,,15,0.8,,15,0.8,,15,0.7,,15,0.7,,4,0.2
QF_BV/sage/app8/bench_2880,,3,1.1,,17,0.8,,17,0.8,,17,0.9,,17,0.9,,3,0.2
QF_BV/sage/app8/bench_3177,,2,1.3,,10,2.5,,10,2.5,,10,4.1,,10,3.8,,3,0.3
QF_BV/sage/app8/bench_3314,,2,1.0,,8,0.3,,8,0.3,,7,0.3,,7,0.3,,3,0.2
QF_BV/sage/app8/bench_3368,,2,1.1,,6,0.2,,6,0.2,,6,0.2,,6,0.2,,3,0.2
QF_BV/sage/app8/bench_3424,,2,0.5,,10,0.2,,10,0.2,,9,0.4,,9,0.4,,3,0.1
QF_BV/sage/app8/bench_3448,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.1
QF_BV/sage/app8/bench_3677,,3,0.2,,21,0.2,,21,0.2,,28,0.4,,28,0.4,,4,0.1
QF_BV/sage/app8/bench_3814,,2,0.7,,6,0.3,,6,0.3,,7,0.5,,7,0.5,,2,0.1
QF_BV/sage/app8/bench_3836,,2,0.0,,4,0.1,,4,0.1,,4,0.1,,4,0.1,,2,0.0
QF_BV/sage/app8/bench_3842,,2,0.0,,11,0.1,,11,0.1,,11,0.1,,11,0.1,,2,0.0
QF_BV/sage/app9/bench_885,,3,4.0,,207,66.9,,162,60.9,,215,57.9,,157,62.5,,4,0.3
QF_BV/sage/app9/bench_919,,2,0.1,,15,0.2,,15,0.2,,15,0.2,,15,0.2,,3,0.1
QF_BV/sage/app9/bench_979,,2,0.1,,8,0.1,,8,0.1,,8,0.1,,8,0.1,,2,0.0
QF_BV/sage/app9/bench_1203,,2,0.6,,7,0.2,,7,0.2,,7,0.3,,7,0.3,,2,0.1
QF_BV/sage/app9/bench_1269,,2,0.4,,20,0.7,,20,0.7,,19,0.7,,19,0.7,,3,0.1
QF_BV/sage/app9/bench_1323,,2,0.3,,17,0.8,,17,0.8,,18,1.0,,18,1.0,,3,0.1
QF_BV/sage/app9/bench_1384,,2,2.3,,31,18.5,,31,18.5,,38,18.6,,36,18.6,,3,0.6
QF_BV/sage/app9/bench_1400,,3,2.9,,22,14.0,,21,14.0,,32,40.5,,31,40.5,,3,0.8
QF_BV/sage/app9/bench_1552,,3,2.0,,33,4.3,,30,6.8,,25,4.8,,24,4.8,,3,0.2
QF_BV/sage/app9/bench_1659,,3,1.9,,11,1.1,,11,1.1,,10,1.2,,10,1.2,,3,0.2
QF_BV/sage/app9/bench_1969,,2,0.2,,2,0.0,,2,0.0,,2,0.1,,2,0.1,,2,0.1
QF_BV/sage/app9/bench_2061,,3,0.1,,51,1.0,,51,1.0,,51,1.7,,51,1.7,,4,0.0
QF_BV/sage/app9/bench_2358,,2,0.0,,13,0.1,,13,0.1,,13,0.1,,13,0.1,,3,0.0
QF_BV/sage/app9/bench_2518,,2,0.4,,5,0.1,,5,0.1,,6,0.2,,6,0.2,,2,0.1
QF_BV/sage/app9/bench_2940,,2,0.9,,10,0.6,,10,0.6,,10,1.5,,10,1.5,,3,0.2
QF_BV/sage/app9/bench_3094,,2,0.0,,15,0.1,,15,0.1,,15,0.1,,15,0.1,,3,0.0
QF_BV/sage/app9/bench_3134,,2,11.4,,19,76.5,,18,49.6,,18,90.5,,17,90.5,,2,38.5
QF_BV/sage/app9/bench_3261,,2,0.0,,11,0.1,,11,0.1,,11,0.1,,11,0.1,,2,0.0
QF_BV/sage/app9/bench_3278,,2,13.8,,18,68.0,,17,68.0,,19,92.5,,17,68.5,,2,25.7
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,2,9.5,,76,61.9,,11,65.4,,76,64.9,,12,64.9,,3,32.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,2,9.9,,77,48.7,,12,48.7,,75,59.0,,10,59.0,,2,14.6
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,2,11.4,,77,42.6,,13,47.9,,74,45.9,,10,59.8,,2,40.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,3,74.6,,186,758.0,,86,845.9,,165,750.5,,98,903.0,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,3,57.6,,151,614.2,,69,742.4,,220,930.5,,115,930.5,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,3,156.3,,117,713.1,,55,713.1,,234,956.6,,142,956.6,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,3,71.5,,138,667.6,,71,681.1,,137,774.3,,77,769.6,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,3,55.0,,85,507.1,,45,585.0,,165,782.5,,93,923.1,,- -,- -
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,3,70.3,,66,385.2,,32,385.2,,184,849.9,,114,849.9,,- -,- -
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,3,1.0,,19,0.5,,19,0.5,,19,0.8,,19,0.8,,2,0.0
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,3,0.8,,28,0.5,,28,0.5,,28,1.3,,28,1.3,,2,0.1
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,3,1.9,,88,3.4,,79,3.4,,84,2.8,,76,2.8,,3,0.1
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,3,2.2,,97,3.9,,89,3.9,,96,3.1,,88,3.1,,3,0.1
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,3,2.0,,105,4.3,,97,2.6,,102,5.2,,94,5.2,,3,0.1
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,3,3.8,,121,4.5,,113,5.7,,122,6.8,,114,6.8,,3,0.1
QF_BV/stp_samples/run_03230.trace.cond_012217_0x4182b4_00,,3,1.8,,131,5.8,,123,5.8,,121,6.7,,112,6.7,,3,0.1
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,2,1.0,,61,2.5,,60,2.5,,58,3.5,,58,3.5,,3,0.1
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,3,0.9,,49,2.0,,49,2.0,,45,2.0,,45,2.0,,3,0.1
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,3,1.9,,87,5.7,,82,5.7,,82,9.2,,77,9.2,,3,0.2
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,3,1.5,,113,9.4,,108,9.4,,89,11.7,,87,11.7,,3,0.3
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,3,2.6,,113,3.3,,105,3.3,,111,6.7,,103,6.7,,3,0.1
QF_BV/stp_samples/run_03230.trace.cond_025424_0x41820e_00,,2,1.2,,10,0.4,,10,0.4,,10,0.3,,10,0.3,,2,0.1
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,1,1.6,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,1,0.7,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.1
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,1,1.2,,1,0.1,,1,0.1,,1,0.1,,1,0.1,,1,0.0
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,1,1.1,,1,0.1,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,1,3.1,,1,0.1,,1,0.1,,1,0.3,,1,0.3,,- -,- -
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,3,2.1,,155,6.5,,155,6.5,,155,7.0,,155,7.0,,4,0.1
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,3,3.8,,159,11.3,,159,11.3,,214,16.5,,214,16.5,,3,0.2
QF_BV/tacas07/s-40-50-bv,,3,91.8,,35,1135.9,,21,1165.1,,6,107.4,,5,94.5,,3,1260.3
,,,,,,,,,,,,,,,,,,
QF_ABV/bench_ab/a84test0002,,2,0.0,,10,0.1,,7,0.1,,10,0.3,,7,0.3,,,
QF_ABV/bench_ab/a271test0009,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,,
QF_ABV/bench_ab/a283test0002,,2,0.0,,7,0.2,,5,0.2,,7,0.3,,5,0.3,,,
QF_ABV/bench_ab/a288test0004,,2,0.1,,14,0.5,,5,0.5,,14,0.3,,5,0.3,,,
QF_ABV/bench_ab/a296test0002,,1,1.6,,1,0.1,,1,0.1,,1,0.1,,1,0.1,,,
QF_ABV/bench_ab/b264test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,,
QF_ABV/bmc-arrays/ex6,,3,0.4,,62,1.8,,62,1.8,,63,2.0,,63,2.0,,,
QF_ABV/bmc-arrays/ex20,,3,46.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/bmc-arrays/inf4,,1,0.6,,1,4.5,,1,4.5,,1,10.4,,1,10.4,,,
QF_ABV/bmc-arrays/simple_control_on_input,,3,6.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,8,0.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,6,0.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,5,0.3,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,5,0.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,6,0.3,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,3,105.8,,57,1333.3,,36,1333.3,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,5,0.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,7,0.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,3,6.2,,- -,- -,,- -,- -,,8,104.2,,8,104.2,,,
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,3,11.1,,55,398.6,,39,352.3,,32,372.4,,28,372.4,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,3,8.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,6,0.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,3,0.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,2,0.8,,81,2.8,,81,2.8,,82,4.6,,82,4.6,,,
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,3,3.6,,114,9.0,,114,9.0,,114,16.3,,114,16.3,,,
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,3,1.2,,82,4.5,,82,4.5,,82,4.6,,82,4.6,,,
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,3,0.4,,56,1.1,,56,1.1,,51,2.0,,51,2.0,,,
