Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_2020,,18,407.0,,16,485.1,,16,597.9,,16,921.4
QF_BV/sage/app1/bench_2021,,17,475.6,,16,349.7,,16,408.9,,16,818.0
QF_BV/sage/app1/bench_2022,,17,587.1,,15,485.0,,16,748.9,,15,762.8
QF_BV/sage/app1/bench_2024,,17,646.3,,16,501.3,,16,554.6,,15,811.6
QF_BV/sage/app1/bench_2025,,17,315.2,,16,463.5,,16,931.4,,15,724.0
QF_BV/sage/app1/bench_2028,,18,372.8,,16,485.2,,16,670.6,,16,730.0
QF_BV/sage/app1/bench_2031,,17,510.5,,16,806.1,,16,807.7,,15,1086.9
QF_BV/sage/app1/bench_2088,,18,498.2,,17,428.8,,16,630.7,,16,844.0
QF_BV/sage/app1/bench_2089,,14,453.5,,14,1255.8,,14,800.9,,14,2197.7
QF_BV/sage/app1/bench_2124,,17,386.3,,16,479.3,,16,561.9,,16,1258.8
QF_BV/sage/app1/bench_2128,,18,355.0,,16,495.6,,16,645.1,,16,758.0
QF_BV/sage/app1/bench_2129,,17,670.5,,17,573.9,,17,1131.7,,17,1521.8
QF_BV/sage/app1/bench_2133,,18,525.6,,17,521.8,,17,671.4,,17,606.1
QF_BV/sage/app1/bench_2135,,18,525.0,,17,555.9,,16,704.2,,17,988.4
QF_BV/sage/app1/bench_2138,,20,721.8,,18,847.0,,16,1061.4,,17,907.5
QF_BV/sage/app1/bench_2141,,18,403.5,,17,485.0,,16,388.4,,16,674.9
QF_BV/sage/app1/bench_2173,,16,860.4,,17,639.0,,15,491.9,,16,1121.4
QF_BV/sage/app1/bench_2219,,18,455.9,,17,481.1,,16,735.7,,16,602.5
QF_BV/sage/app1/bench_2252,,18,340.8,,17,368.2,,16,821.9,,16,579.4
QF_BV/sage/app1/bench_2257,,18,381.9,,17,472.5,,17,423.0,,17,622.0
QF_BV/sage/app1/bench_2258,,18,636.1,,17,509.0,,17,765.4,,17,837.1
QF_BV/sage/app1/bench_2262,,19,283.2,,18,385.3,,17,300.8,,17,503.1
QF_BV/sage/app1/bench_2263,,19,292.9,,18,375.8,,17,487.1,,17,360.4
QF_BV/sage/app1/bench_2266,,18,276.8,,18,419.1,,18,524.0,,17,694.3
QF_BV/sage/app1/bench_2270,,17,273.2,,17,220.1,,17,415.6,,17,530.0
QF_BV/sage/app1/bench_2293,,17,300.0,,17,413.5,,16,636.2,,17,670.8
QF_BV/sage/app1/bench_2322,,15,626.2,,14,612.5,,14,780.6,,14,1034.9
QF_BV/sage/app1/bench_2330,,18,274.5,,18,279.4,,17,502.4,,18,374.4
QF_BV/sage/app1/bench_2365,,19,293.6,,18,204.1,,17,730.5,,17,257.9
QF_BV/sage/app1/bench_2367,,15,470.9,,15,401.9,,14,1000.4,,14,1079.2
QF_BV/sage/app1/bench_2370,,19,155.0,,18,179.7,,18,383.6,,17,463.1
QF_BV/sage/app1/bench_2371,,18,325.6,,18,366.7,,17,452.7,,18,615.0
QF_BV/sage/app1/bench_2375,,19,263.1,,18,305.1,,17,294.7,,18,272.1
QF_BV/sage/app1/bench_2376,,19,210.5,,18,272.7,,18,389.0,,18,585.5
QF_BV/sage/app1/bench_2380,,20,231.1,,19,178.9,,19,418.9,,18,494.0
QF_BV/sage/app1/bench_2383,,18,233.3,,18,263.4,,17,385.3,,17,429.8
QF_BV/sage/app1/bench_2405,,17,221.8,,17,310.2,,17,345.6,,17,333.8
QF_BV/sage/app1/bench_2428,,18,243.2,,16,291.1,,16,530.8,,16,326.0
