Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,7,5.0,,504,8.9,,120,14.9,,- -,- -,,122,24.6,,8,0.1
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,7,5.7,,119,3.7,,111,3.7,,114,6.1,,106,6.1,,7,0.1
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,7,5.3,,96,4.5,,87,4.5,,96,5.3,,87,5.3,,5,0.1
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,2,6.4,,71,6.4,,71,6.4,,78,10.7,,78,10.7,,- -,- -
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,530,222.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,30,0.7
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,650,489.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,28,0.6
QF_BV/tacas07/s-40-50-bv,,24,535.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
,,,,,,,,,,,,,,,,,,
QF_ABV/bench_ab/a84test0002,,2,0.0,,90,0.2,,9,0.2,,90,0.4,,9,0.4,,,
QF_ABV/bench_ab/a271test0009,,2,0.2,,7,0.3,,4,0.3,,8,0.4,,4,0.4,,,
QF_ABV/bench_ab/a283test0002,,3,0.0,,11,0.2,,8,0.2,,11,0.3,,8,0.3,,,
QF_ABV/bench_ab/a288test0004,,3,0.1,,22,0.7,,11,0.7,,22,0.4,,10,0.4,,,
QF_ABV/bench_ab/a296test0002,,4,8.6,,23,7.7,,23,7.7,,23,12.6,,23,12.6,,,
QF_ABV/bench_ab/b264test0001,,3,0.1,,4,0.0,,4,0.0,,4,3600.0,,4,3600.0,,,
QF_ABV/bmc-arrays/ex6,,10,1.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/bmc-arrays/ex20,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,,
QF_ABV/bmc-arrays/inf4,,2,1.1,,8,41.8,,8,41.8,,15,90.7,,13,90.7,,,
