Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_ABV/egt/egt-1550,,3,0.2,,- -,- -,,7,0.5,,4,0.4
QF_ABV/egt/egt-4211,,3,0.3,,- -,- -,,4,0.4,,4,0.4
QF_ABV/egt/egt-6650,,3,0.1,,- -,- -,,4,0.1,,3,0.1
QF_ABV/egt/egt-7155,,3,0.3,,- -,- -,,5,0.4,,4,0.3
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.2,,- -,- -,,2,0.1,,2,0.1
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,25,5.8,,41,14.5,,121,33.6,,180,665.6
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,4,2.4,,6,3.1,,6,2.4,,5,2.1
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,4,2.7,,5,2.9,,5,2.6,,4,2.0
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,4,3.1,,6,4.6,,6,3.9,,4,2.1
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,4,1.7,,7,2.6,,5,1.4,,4,1.4
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,4,1.9,,7,2.7,,4,1.1,,4,1.4
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,6,4.6,,90,62.2,,7,4.0,,6,3.2
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,6,4.5,,11,7.3,,6,3.2,,6,3.0
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,6,4.8,,- -,- -,,7,3.6,,6,3.2
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,6,5.7,,- -,- -,,7,3.9,,6,3.4
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,6,5.2,,59,46.0,,9,5.0,,6,2.9
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,6,6.0,,17,11.2,,7,3.8,,6,3.5
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,6,5.5,,- -,- -,,7,4.0,,6,3.4
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,6,5.8,,16,10.8,,7,3.6,,6,3.6
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,6,5.4,,19,14.7,,7,4.2,,6,3.7
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,6,5.4,,57,47.1,,8,4.7,,6,3.9
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,6,5.8,,44,28.8,,8,4.7,,6,3.6
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,5,5.5,,132,174.0,,6,3.7,,6,4.0
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,6,6.8,,- -,- -,,8,5.2,,7,4.9
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,6,8.2,,- -,- -,,8,5.3,,7,4.5
