Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_2367,,2,66.0,,2,120.1,,2,157.5,,2,199.4
QF_BV/sage/app1/bench_2370,,2,25.3,,2,39.2,,2,65.5,,2,46.0
QF_BV/sage/app1/bench_2371,,2,47.7,,2,26.6,,2,84.6,,2,54.3
QF_BV/sage/app1/bench_2375,,2,30.7,,2,37.9,,2,58.6,,2,65.3
QF_BV/sage/app1/bench_2376,,2,38.4,,2,43.6,,2,61.5,,2,43.4
QF_BV/sage/app1/bench_2380,,2,40.3,,2,61.8,,2,62.4,,2,145.1
QF_BV/sage/app1/bench_2383,,2,35.7,,2,46.5,,2,81.5,,2,81.3
QF_BV/sage/app1/bench_2405,,2,32.8,,2,47.9,,2,71.0,,2,138.2
QF_BV/sage/app1/bench_2428,,2,50.0,,2,49.4,,2,64.5,,2,77.3
QF_BV/sage/app1/bench_2461,,2,20.1,,2,29.3,,2,52.0,,2,71.4
QF_BV/sage/app1/bench_2465,,2,38.1,,2,25.9,,2,83.7,,2,67.2
QF_BV/sage/app1/bench_2466,,2,36.1,,2,32.3,,2,53.2,,2,66.1
QF_BV/sage/app1/bench_2468,,2,39.6,,2,50.0,,2,60.1,,2,59.2
QF_BV/sage/app1/bench_2472,,2,56.2,,2,37.6,,2,58.9,,2,39.3
QF_BV/sage/app1/bench_2473,,2,34.5,,2,38.0,,2,52.0,,2,64.8
QF_BV/sage/app1/bench_2474,,2,62.6,,2,27.6,,2,53.4,,2,39.5
QF_BV/sage/app1/bench_2477,,2,73.4,,2,39.5,,2,55.4,,2,36.7
QF_BV/sage/app1/bench_2481,,2,30.2,,2,47.6,,2,54.8,,2,64.0
QF_BV/sage/app1/bench_2525,,2,35.4,,2,26.7,,2,90.0,,2,63.7
QF_BV/sage/app1/bench_2529,,2,24.7,,2,35.6,,2,55.6,,2,59.9
QF_BV/sage/app1/bench_2547,,2,50.0,,2,27.8,,2,74.0,,2,123.8
QF_BV/sage/app1/bench_2582,,2,28.8,,2,32.6,,2,47.9,,2,92.0
QF_BV/sage/app1/bench_2586,,2,27.2,,2,36.2,,2,49.2,,2,35.4
QF_BV/sage/app1/bench_2587,,2,26.9,,2,38.0,,2,74.0,,2,58.8
QF_BV/sage/app1/bench_2588,,2,35.8,,2,38.5,,2,57.8,,2,63.1
QF_BV/sage/app1/bench_2593,,2,36.0,,2,34.8,,2,48.1,,2,60.4
QF_BV/sage/app1/bench_2594,,2,29.5,,2,24.5,,2,49.6,,2,61.5
QF_BV/sage/app1/bench_2595,,2,25.1,,2,36.5,,2,39.3,,2,56.7
QF_BV/sage/app1/bench_2598,,2,60.0,,2,32.9,,2,47.3,,2,65.1
QF_BV/sage/app1/bench_2602,,2,30.1,,2,35.5,,2,47.5,,2,64.1
QF_BV/sage/app1/bench_2634,,2,24.2,,2,56.2,,2,65.9,,2,40.0
QF_BV/sage/app1/bench_2644,,2,99.3,,2,142.0,,2,201.4,,2,241.6
QF_BV/sage/app1/bench_2660,,2,33.7,,2,26.2,,2,48.7,,2,59.6
QF_BV/sage/app12/bench_1570,,1,3.4,,1,3.1,,1,8.3,,1,9.5
QF_BV/sage/app12/bench_1592,,1,4.6,,1,4.4,,1,6.2,,1,9.3
QF_BV/sage/app12/bench_1603,,1,4.0,,1,6.9,,1,7.2,,1,9.9
QF_BV/sage/app12/bench_1625,,1,3.2,,1,3.5,,1,4.2,,1,6.7
QF_BV/sage/app12/bench_1636,,1,4.3,,1,6.0,,1,7.3,,1,9.0
QF_BV/sage/app12/bench_1670,,1,3.7,,1,7.8,,1,9.8,,1,9.5
QF_BV/sage/app12/bench_1681,,1,3.9,,1,5.3,,1,7.2,,1,8.8
QF_BV/sage/app12/bench_1692,,1,4.3,,1,4.3,,1,6.6,,1,5.6
QF_BV/sage/app12/bench_1803,,1,4.4,,1,5.7,,1,6.7,,1,9.1
QF_BV/sage/app12/bench_1914,,1,4.2,,1,5.4,,1,10.6,,1,8.4
QF_BV/sage/app12/bench_2047,,1,4.5,,1,5.0,,1,7.4,,1,9.1
QF_BV/sage/app12/bench_2625,,1,4.5,,1,7.5,,1,7.8,,1,8.6
QF_BV/sage/app12/bench_2714,,1,3.6,,1,4.3,,1,4.9,,1,6.1
QF_BV/sage/app12/bench_2847,,1,4.2,,1,3.6,,1,4.3,,1,8.2
QF_BV/sage/app12/bench_2869,,1,4.8,,1,5.8,,1,7.8,,1,8.8
QF_BV/sage/app12/bench_2892,,1,4.4,,1,4.8,,1,6.0,,1,10.6
QF_BV/sage/app12/bench_2914,,1,4.4,,1,4.3,,1,4.7,,1,8.0
QF_BV/sage/app12/bench_2969,,1,3.7,,1,3.8,,1,6.0,,1,8.4
QF_BV/sage/app12/bench_3014,,1,4.0,,1,6.0,,1,7.8,,1,8.5
QF_BV/sage/app12/bench_3202,,1,3.7,,1,8.0,,1,7.0,,1,5.8
QF_BV/sage/app12/bench_3236,,1,5.6,,1,9.2,,1,10.7,,1,9.1
QF_BV/sage/app12/bench_3247,,1,4.4,,1,5.9,,1,4.5,,1,7.9
QF_BV/sage/app12/bench_3258,,1,4.2,,1,4.5,,1,12.8,,1,7.4
QF_BV/sage/app12/bench_3291,,1,3.0,,1,6.1,,1,6.3,,1,7.5
QF_BV/sage/app12/bench_3324,,1,4.5,,1,3.6,,1,6.4,,1,7.2
QF_BV/sage/app12/bench_3337,,1,4.0,,1,3.8,,1,4.3,,1,8.4
QF_BV/sage/app12/bench_3359,,1,5.1,,1,5.5,,1,7.8,,1,8.5
QF_BV/sage/app12/bench_3381,,1,4.8,,1,5.5,,1,8.3,,1,9.1
QF_BV/sage/app12/bench_3392,,1,5.5,,1,6.6,,1,6.6,,1,9.4
QF_BV/sage/app12/bench_3403,,1,5.1,,1,5.5,,1,6.7,,1,12.4
QF_BV/sage/app12/bench_3414,,1,5.3,,1,5.3,,1,6.7,,1,8.3
QF_BV/sage/app12/bench_3425,,1,4.7,,1,5.0,,1,8.6,,1,12.8
QF_BV/sage/app12/bench_3459,,1,5.6,,1,8.1,,1,5.7,,1,10.4
QF_BV/sage/app12/bench_3470,,1,5.2,,1,6.7,,1,8.1,,1,9.3
QF_BV/sage/app12/bench_3481,,1,4.6,,1,4.9,,1,7.3,,1,8.8
QF_BV/sage/app12/bench_3592,,1,5.1,,1,4.4,,1,7.7,,1,11.1
QF_BV/sage/app12/bench_3703,,1,4.5,,1,5.4,,1,7.7,,1,6.7
QF_BV/sage/app12/bench_3836,,1,3.9,,1,6.1,,1,6.7,,1,10.1
QF_BV/sage/app12/bench_4114,,1,4.0,,1,5.2,,1,7.2,,1,9.7
QF_BV/sage/app12/bench_4202,,1,4.8,,1,4.8,,1,6.5,,1,9.0
QF_BV/sage/app12/bench_4681,,1,5.6,,1,4.9,,1,8.0,,1,9.6
QF_BV/sage/app12/bench_5258,,1,4.2,,1,5.0,,1,9.8,,1,6.8
QF_BV/sage/app12/bench_5324,,1,3.8,,1,3.8,,1,12.1,,1,9.3
QF_BV/sage/app12/bench_5327,,1,3.1,,1,5.0,,1,10.9,,1,7.3
QF_BV/sage/app12/bench_5328,,1,6.2,,1,3.9,,1,10.3,,1,11.8
QF_BV/sage/app12/bench_5329,,1,4.9,,1,5.0,,1,8.4,,1,10.3
QF_BV/sage/app12/bench_5333,,1,3.1,,1,5.0,,1,9.8,,1,9.5
QF_BV/sage/app12/bench_5334,,1,3.5,,1,5.2,,1,4.6,,1,10.2
QF_BV/sage/app12/bench_5335,,1,3.2,,1,6.1,,1,5.3,,1,11.3
QF_BV/sage/app12/bench_5348,,1,5.1,,1,4.8,,1,7.0,,1,13.0
QF_BV/sage/app12/bench_5349,,1,3.6,,1,4.6,,1,9.0,,1,6.8
QF_BV/sage/app12/bench_5350,,1,4.3,,1,7.2,,1,11.8,,1,9.2
QF_BV/sage/app12/bench_5354,,1,4.3,,1,5.0,,1,7.7,,1,8.6
QF_BV/sage/app12/bench_5361,,1,4.5,,1,4.9,,1,8.0,,1,9.7
QF_BV/sage/app12/bench_5365,,1,3.8,,1,6.3,,1,10.2,,1,13.1
QF_BV/sage/app12/bench_5367,,1,4.7,,1,7.7,,1,9.4,,1,9.6
QF_BV/sage/app12/bench_5369,,1,4.6,,1,9.0,,1,16.3,,1,6.4
QF_BV/sage/app12/bench_5370,,1,5.3,,1,7.6,,1,17.2,,1,6.1
QF_BV/sage/app12/bench_5371,,1,3.3,,1,6.5,,1,8.6,,1,9.9
QF_BV/sage/app12/bench_5372,,1,3.8,,1,6.4,,1,11.8,,1,9.4
QF_BV/sage/app12/bench_5373,,1,5.4,,1,8.3,,1,12.9,,1,8.8
QF_BV/sage/app12/bench_5377,,1,3.4,,1,7.9,,1,8.9,,1,7.4
