Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_ABV/egt/egt-1526,,7,0.3,,5,0.3,,4,0.4,,4,0.5
QF_ABV/egt/egt-1550,,5,0.3,,4,0.2,,3,0.3,,4,0.7
QF_ABV/egt/egt-4211,,4,0.1,,4,0.2,,4,0.4,,4,0.5
QF_ABV/egt/egt-6650,,7,0.2,,3,0.1,,3,0.1,,3,0.2
QF_ABV/egt/egt-7155,,5,0.2,,4,0.2,,3,0.3,,3,0.4
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,15,1.3,,4,0.3,,2,0.2,,2,0.2
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,51,11.3,,28,4.4,,25,4.9,,25,7.7
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,5,1.6,,5,2.0,,4,2.3,,4,3.1
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,5,1.8,,5,2.1,,4,3.6,,4,4.0
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,5,1.8,,5,2.4,,4,3.3,,4,4.9
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,5,0.8,,5,1.4,,4,1.7,,5,3.0
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,5,1.5,,5,1.2,,4,1.8,,5,3.2
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,7,2.6,,7,3.3,,6,4.5,,6,6.8
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,6,2.2,,6,2.8,,6,5.3,,6,6.8
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,7,2.8,,7,3.7,,6,5.0,,6,6.8
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,7,3.2,,7,3.7,,6,6.0,,6,7.0
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,7,2.9,,7,3.5,,6,5.4,,7,7.2
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,9,3.3,,8,3.6,,6,5.7,,6,7.4
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,7,3.6,,9,4.7,,6,5.6,,7,8.7
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,7,3.2,,7,3.9,,6,5.6,,6,8.2
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,8,3.7,,6,3.4,,6,5.5,,5,6.4
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,9,4.1,,7,4.0,,6,5.8,,6,7.3
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,8,4.1,,8,4.7,,6,5.9,,6,7.6
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,7,3.8,,7,4.7,,6,6.4,,6,8.7
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,8,5.3,,7,5.6,,6,7.1,,7,11.3
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,10,6.6,,7,5.8,,6,7.2,,6,9.3
