Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_1006,,9,59.3,,15,49.0,,12,86.4,,9,46.2
QF_BV/sage/app1/bench_1008,,9,46.0,,14,74.4,,10,77.5,,9,49.2
QF_BV/sage/app1/bench_1010,,8,51.8,,15,51.0,,11,72.8,,9,50.4
QF_BV/sage/app1/bench_1012,,8,64.4,,13,70.1,,9,70.0,,9,44.4
QF_BV/sage/app1/bench_1015,,8,49.0,,19,99.6,,9,62.0,,8,41.8
QF_BV/sage/app1/bench_1017,,7,43.9,,13,69.0,,8,52.5,,8,33.9
QF_BV/sage/app1/bench_1019,,7,40.9,,15,83.8,,7,54.7,,7,35.9
QF_BV/sage/app1/bench_1021,,7,45.3,,10,34.5,,8,56.4,,7,35.0
QF_BV/sage/app1/bench_1023,,7,42.5,,11,40.3,,8,67.5,,7,36.0
QF_BV/sage/app1/bench_1027,,7,60.2,,11,38.1,,7,48.4,,8,46.0
QF_BV/sage/app1/bench_1035,,7,53.4,,11,36.6,,7,64.7,,7,37.2
QF_BV/sage/app1/bench_1109,,7,47.7,,12,45.8,,7,61.0,,8,46.1
QF_BV/sage/app1/bench_1110,,7,68.6,,12,74.2,,8,72.6,,7,41.3
QF_BV/sage/app1/bench_1126,,14,821.2,,39,1378.6,,28,1414.7,,16,381.5
QF_BV/sage/app1/bench_1128,,7,44.8,,14,59.4,,9,81.9,,7,30.2
QF_BV/sage/app1/bench_1448,,15,598.2,,24,846.6,,37,1813.4,,18,381.1
QF_BV/sage/app1/bench_1459,,15,862.0,,30,1600.8,,41,1935.0,,17,407.8
QF_BV/sage/app1/bench_1470,,15,839.3,,27,962.3,,49,2370.1,,18,337.2
QF_BV/sage/app1/bench_1481,,15,808.0,,24,851.2,,50,2044.4,,18,356.5
QF_BV/sage/app1/bench_1492,,15,841.4,,31,1122.9,,43,2091.8,,17,346.2
QF_BV/sage/app1/bench_1525,,16,1158.0,,32,1446.1,,30,1561.6,,19,437.6
QF_BV/sage/app1/bench_1559,,15,775.9,,41,1272.8,,47,2324.3,,18,393.7
QF_BV/sage/app1/bench_1873,,15,859.1,,27,876.7,,- -,- -,,17,397.8
