Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,12,0.3,,14,27.0,,105,17.8,,- -,- -
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,14,4.2,,6,21.9,,22,5.4,,111,482.2
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,8,3.2,,- -,- -,,38,20.4,,20,9.6
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,10,10.0,,- -,- -,,33,39.1,,- -,- -
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,14,6.8,,- -,- -,,40,20.0,,26,12.2
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,18,4.1,,- -,- -,,27,5.7,,- -,- -
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,33,159.9,,- -,- -,,201,1182.4,,38,160.6
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,46,99.3,,- -,- -,,- -,- -,,53,90.7
QF_ABV/egt/egt-0474,,5,0.3,,- -,- -,,6,0.3,,5,0.4
QF_ABV/egt/egt-1526,,6,0.5,,- -,- -,,29,3.2,,6,0.5
QF_ABV/egt/egt-1550,,4,0.3,,- -,- -,,7,0.6,,5,0.5
QF_ABV/egt/egt-4211,,5,0.5,,- -,- -,,6,0.5,,5,0.4
QF_ABV/egt/egt-6650,,4,0.2,,- -,- -,,7,0.3,,4,0.2
QF_ABV/egt/egt-7155,,4,0.4,,- -,- -,,10,0.7,,5,0.4
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.2,,- -,- -,,2,0.1,,2,0.1
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,150,620.1,,46,21.5,,- -,- -,,- -,- -
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,7,3.8,,11,5.5,,10,3.5,,8,3.1
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,7,4.5,,9,5.3,,12,5.0,,8,3.4
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,7,5.2,,9,6.0,,15,7.8,,7,3.7
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,6,2.3,,10,4.2,,7,2.3,,6,1.9
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,6,2.6,,11,4.4,,7,2.0,,6,1.9
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,13,9.5,,- -,- -,,81,50.4,,13,6.5
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,13,8.7,,23,13.8,,335,356.0,,14,6.2
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,12,9.1,,- -,- -,,80,61.2,,13,6.7
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,13,11.0,,- -,- -,,56,40.5,,14,7.9
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,12,9.9,,- -,- -,,32,19.3,,13,6.6
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,12,9.1,,172,119.2,,158,192.5,,13,7.7
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,13,10.6,,- -,- -,,29,16.2,,13,6.9
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,12,9.6,,131,89.4,,70,52.3,,13,7.3
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,13,11.4,,875,757.9,,- -,- -,,13,7.4
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,13,11.3,,- -,- -,,67,48.1,,13,7.4
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,11,9.6,,- -,- -,,72,56.3,,13,7.3
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,12,11.9,,- -,- -,,92,82.1,,12,7.2
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,13,13.3,,- -,- -,,66,55.8,,14,8.6
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,11,12.3,,- -,- -,,149,187.6,,14,8.9
